franchisor_id,agency_id,subdomain,profile_id,caregiver_id,external_id,first_name,last_name,email,phone_number,gender,applicant,birthday_date,onboarding_date,location_name,locations_id,applicant_status,status
a3f390d88e,91a4d5c9c7,udaxihhexdvxrcsnba,e44770b806,cb5e25a30c,,noGMbJm,AoCLrZaWZkS,nkiegykd@cmdllt.com,4078161849,,True,,,None,0,New Applicant,active
a3f390d88e,91a4d5c9c7,udaxihhexdvxrcsnba,cbf9344346,f6e9123483,,KmTec,Xsfogyr,oulfllgv@iwvuct.com,2832764835,,True,,,None,0,New Applicant,active
a3f390d88e,a5fdfa6722,yybhbzkmicgswkgupmuo,b3dce23c8e,d3292a9ba3,,qipVJ,qVLBLzxo,eqpcybde@ufzvnt.com,1669784801,,True,,,Winston-Salem,13512,New Applicant,active
a3f390d88e,a5fdfa6722,yybhbzkmicgswkgupmuo,315abef609,85cb2c14fb,,WrXPvhsB,DaUUq,qyfqduju@qtgely.com,2880957015,,True,,,Winston-Salem,13512,New Applicant,active
a3f390d88e,a5fdfa6722,yybhbzkmicgswkgupmuo,425ea7eafe,162d071833,,pdpK,fUFeWIXiiQE,rfiqtngr@yxwgwj.com,6578713315,,True,,,Winston-Salem,13512,Not hired,deactivated
a3f390d88e,a5fdfa6722,yybhbzkmicgswkgupmuo,bf9a8dbb46,f2fbfb4854,,LJoL,aeTOdoe,bkcqhivp@grexss.com,7376311656,,True,,,Winston-Salem,13512,Not hired,deactivated
a3f390d88e,a5fdfa6722,yybhbzkmicgswkgupmuo,1abcdf0fc4,074a95834a,,DUdRPP,dzUv,zdhggroe@nfiohc.com,7810801326,,True,,,Winston-Salem,13512,Not hired,deactivated
a3f390d88e,a5fdfa6722,yybhbzkmicgswkgupmuo,da7687233c,7276f11f2f,,Enzdkyay,YYDsB,wxzrvwpe@gjgbsx.com,8050097882,,True,,,Winston-Salem,13512,Application Completed,active
68ce199ec2,a330f9fecc,bqcfctcvhmdshstbtcnvs,eb4a736e0e,932163557f,,HuqnQTupqzi,DuWea,otsdcrgq@ielchl.com,4278498084,,False,,2023-10-11 00:00:00,None,0,Hired,active
68ce199ec2,a330f9fecc,bqcfctcvhmdshstbtcnvs,8f50a8e0ba,d4d9f74dfc,,iqhg,jrsMnTvn,vuiqpibc@unibak.com,2427868011,,False,,2024-03-08 00:00:00,None,0,Hired,active
320722549d,fb6e7c3969,werblsrenebjlzblgvhv,af5a86cdb3,9ec61830c3,,wXJA,VjpkZZl,nafxkznz@vxzhif.com,1607337543,,True,,,None,0,New Applicant,deactivated
320722549d,fb6e7c3969,werblsrenebjlzblgvhv,43a28ad6de,21e8c2694b,,bQmzvre,wPGzRI,kadifsib@dtnlxz.com,5698169340,,True,,,None,0,Not hired,deactivated
320722549d,fb6e7c3969,werblsrenebjlzblgvhv,b6ae30e3f3,5ee3f95e43,,aHZIRUVV,xBeQvN,kvdxjqjv@nkmwjr.com,2366299468,,True,,,None,0,Not hired,deactivated
320722549d,fb6e7c3969,werblsrenebjlzblgvhv,a9a5141b68,3e9acca4b8,,tsnBY,MPuDCCR,gqpzzxfv@cjqvut.com,5134332003,,True,,,None,0,New Applicant,active
320722549d,8e08227323,ptyconusgwwmpmheuwa,47804ea415,6d2595dae8,,XBolZSH,dJphDiZ,ovqrtkyo@txqnro.com,2774348734,,True,,,ameriCARE Birmingham,21865,New Applicant,active
320722549d,8e08227323,ptyconusgwwmpmheuwa,9d2320adad,37f3a9356a,,eTsprvuIf,joyS,ewgcnnkr@onbgnm.com,9096705466,,True,,,ameriCARE Birmingham,21865,New Applicant,active
fb89705ae6,959a557f5f,rxxrzthph,39caf7955c,b4c8511b78,,BFbyvQ,UkDiNIbzL,svacuneo@fbimkg.com,7556464170,,True,,,None,0,New Applicant,deactivated
